code,name,close,date
801880.SWI,汽车,5221.55,2017-01-20
801170.SWI,交通运输,2733.59,2017-01-20
801080.SWI,电子,2978.41,2017-01-20
801750.SWI,计算机,4459.16,2017-01-20
801110.SWI,家用电器,5071.26,2017-01-20
801950.SWI,煤炭,1923.39,2017-01-20
801770.SWI,通信,2731.98,2017-01-20
801970.SWI,环保,3556.73,2017-01-20
801760.SWI,传媒,1166.59,2017-01-20
801740.SWI,国防军工,1592.65,2017-01-20
801980.SWI,美容护理,5096.19,2017-01-20
801720.SWI,建筑装饰,3162.89,2017-01-20
801050.SWI,有色金属,3525.26,2017-01-20
801140.SWI,轻工制造,3255.75,2017-01-20
801960.SWI,石油石化,2387.37,2017-01-20
801040.SWI,钢铁,2677.04,2017-01-20
801150.SWI,医药生物,7536.42,2017-01-20
801210.SWI,社会服务,5446.03,2017-01-20
801790.SWI,非银金融,1696.38,2017-01-20
801030.SWI,基础化工,3209.22,2017-01-20
801730.SWI,电力设备,5660.77,2017-01-20
801180.SWI,房地产,4774.58,2017-01-20
801890.SWI,机械设备,1571.18,2017-01-20
801130.SWI,纺织服饰,3379.79,2017-01-20
801710.SWI,建筑材料,5520.34,2017-01-20
801780.SWI,银行,3312.18,2017-01-20
801230.SWI,综合,3326.18,2017-01-20
801120.SWI,食品饮料,7562.72,2017-01-20
801010.SWI,农林牧渔,3222.73,2017-01-20
801160.SWI,公用事业,2851.79,2017-01-20
801200.SWI,商贸零售,4963.16,2017-01-20
801110.SWI,家用电器,6829.93,2019-06-28
801960.SWI,石油石化,1928.66,2019-06-28
801740.SWI,国防军工,1115.15,2019-06-28
801880.SWI,汽车,3757.54,2019-06-28
801970.SWI,环保,2208.27,2019-06-28
801160.SWI,公用事业,2091.7,2019-06-28
801040.SWI,钢铁,2288.07,2019-06-28
801210.SWI,社会服务,5990.27,2019-06-28
801730.SWI,电力设备,4049.88,2019-06-28
801890.SWI,机械设备,1139.2,2019-06-28
801170.SWI,交通运输,2452.44,2019-06-28
801080.SWI,电子,2523.65,2019-06-28
801710.SWI,建筑材料,5416.34,2019-06-28
801010.SWI,农林牧渔,3228.72,2019-06-28
801150.SWI,医药生物,7089.43,2019-06-28
801750.SWI,计算机,4189.47,2019-06-28
801770.SWI,通信,2361.77,2019-06-28
801760.SWI,传媒,604.88,2019-06-28
801980.SWI,美容护理,4548.28,2019-06-28
801120.SWI,食品饮料,14488.58,2019-06-28
801780.SWI,银行,3677.63,2019-06-28
801200.SWI,商贸零售,3489.72,2019-06-28
801180.SWI,房地产,4143.07,2019-06-28
801720.SWI,建筑装饰,2222.99,2019-06-28
801230.SWI,综合,2005.26,2019-06-28
801030.SWI,基础化工,2516.67,2019-06-28
801790.SWI,非银金融,2115.93,2019-06-28
801050.SWI,有色金属,2954.2,2019-06-28
801140.SWI,轻工制造,2154.05,2019-06-28
801130.SWI,纺织服饰,1958.6,2019-06-28
801950.SWI,煤炭,1719.01,2019-06-28
801110.SWI,家用电器,8204.5,2021-12-31
801960.SWI,石油石化,2428.91,2021-12-31
801170.SWI,交通运输,2448.58,2021-12-31
801790.SWI,非银金融,1872.8,2021-12-31
801770.SWI,通信,2178.01,2021-12-31
801970.SWI,环保,2293.17,2021-12-31
801230.SWI,综合,2728.43,2021-12-31
801950.SWI,煤炭,2408.54,2021-12-31
801980.SWI,美容护理,7668.61,2021-12-31
801750.SWI,计算机,5197.11,2021-12-31
801030.SWI,基础化工,5006.44,2021-12-31
801880.SWI,汽车,6689.82,2021-12-31
801890.SWI,机械设备,1764.68,2021-12-31
801710.SWI,建筑材料,8166.83,2021-12-31
801010.SWI,农林牧渔,3720.12,2021-12-31
801120.SWI,食品饮料,27044.37,2021-12-31
801760.SWI,传媒,730.14,2021-12-31
801050.SWI,有色金属,5751.42,2021-12-31
801140.SWI,轻工制造,2909.27,2021-12-31
801130.SWI,纺织服饰,1844.08,2021-12-31
801780.SWI,银行,3527.37,2021-12-31
801200.SWI,商贸零售,3085.05,2021-12-31
801150.SWI,医药生物,11385.45,2021-12-31
801730.SWI,电力设备,12536.87,2021-12-31
801080.SWI,电子,5493.91,2021-12-31
801160.SWI,公用事业,2628.49,2021-12-31
801040.SWI,钢铁,2999.35,2021-12-31
801720.SWI,建筑装饰,2238.81,2021-12-31
801740.SWI,国防军工,1978.19,2021-12-31
801180.SWI,房地产,3371.59,2021-12-31
801210.SWI,社会服务,11041.35,2021-12-31
801110.SWI,家用电器,7347.58,2023-06-30
801150.SWI,医药生物,8565.25,2023-06-30
801170.SWI,交通运输,2178.95,2023-06-30
801040.SWI,钢铁,2188.14,2023-06-30
801790.SWI,非银金融,1480.46,2023-06-30
801750.SWI,计算机,4941.44,2023-06-30
801720.SWI,建筑装饰,2185.24,2023-06-30
801010.SWI,农林牧渔,2977.75,2023-06-30
801760.SWI,传媒,770.62,2023-06-30
801970.SWI,环保,1790.78,2023-06-30
801080.SWI,电子,3870.12,2023-06-30
801180.SWI,房地产,2567.03,2023-06-30
801740.SWI,国防军工,1577.5,2023-06-30
801230.SWI,综合,2726.45,2023-06-30
801050.SWI,有色金属,4443.81,2023-06-30
801160.SWI,公用事业,2347.02,2023-06-30
801980.SWI,美容护理,6177.98,2023-06-30
801200.SWI,商贸零售,2194.91,2023-06-30
801710.SWI,建筑材料,5397.98,2023-06-30
801030.SWI,基础化工,3726.06,2023-06-30
801210.SWI,社会服务,9955.16,2023-06-30
801140.SWI,轻工制造,2283.68,2023-06-30
801960.SWI,石油石化,2242.56,2023-06-30
801730.SWI,电力设备,9021.42,2023-06-30
801890.SWI,机械设备,1586.75,2023-06-30
801780.SWI,银行,3068.63,2023-06-30
801770.SWI,通信,2769.56,2023-06-30
801120.SWI,食品饮料,20873.29,2023-06-30
801950.SWI,煤炭,2537.09,2023-06-30
801880.SWI,汽车,5657.44,2023-06-30
801130.SWI,纺织服饰,1625.74,2023-06-30
801050.SWI,有色金属,5094.64,2025-06-27
801730.SWI,电力设备,6968.82,2025-06-27
801040.SWI,钢铁,2112.34,2025-06-27
801230.SWI,综合,2827.24,2025-06-27
801880.SWI,汽车,6940.78,2025-06-27
801010.SWI,农林牧渔,2661.46,2025-06-27
801080.SWI,电子,4544.26,2025-06-27
801030.SWI,基础化工,3490.59,2025-06-27
801110.SWI,家用电器,8320.99,2025-06-27
801710.SWI,建筑材料,4317.34,2025-06-27
801200.SWI,商贸零售,2156.17,2025-06-27
801170.SWI,交通运输,2215.72,2025-06-27
801160.SWI,公用事业,2357.57,2025-06-27
801790.SWI,非银金融,1885.18,2025-06-27
801130.SWI,纺织服饰,1555.5,2025-06-27
801140.SWI,轻工制造,2092.48,2025-06-27
801770.SWI,通信,3197.01,2025-06-27
801750.SWI,计算机,4746.88,2025-06-27
801150.SWI,医药生物,7672.88,2025-06-27
801740.SWI,国防军工,1596.82,2025-06-27
801970.SWI,环保,1799.88,2025-06-27
801980.SWI,美容护理,4613.04,2025-06-27
801720.SWI,建筑装饰,1923.86,2025-06-27
801210.SWI,社会服务,8188.02,2025-06-27
801780.SWI,银行,4436.65,2025-06-27
801950.SWI,煤炭,2539.55,2025-06-27
801890.SWI,机械设备,1639.4,2025-06-27
801180.SWI,房地产,1997.82,2025-06-27
801960.SWI,石油石化,2202.18,2025-06-27
801760.SWI,传媒,706.9,2025-06-27
801120.SWI,食品饮料,16564.42,2025-06-27
801780.SWI,银行,4129.696,2026-09-18
801770.SWI,通信,7619.28,2026-09-18
801170.SWI,交通运输,2090.329,2026-09-18
801960.SWI,石油石化,2657.44,2026-09-18
801200.SWI,商贸零售,1796.294,2026-09-18
801790.SWI,非银金融,1717.5,2026-09-18
801160.SWI,公用事业,2467.392,2026-09-18
801950.SWI,煤炭,3276.476,2026-09-18
801750.SWI,计算机,4325.017,2026-09-18
801210.SWI,社会服务,7384.073,2026-09-18
801760.SWI,传媒,678.305,2026-09-18
801970.SWI,环保,1901.067,2026-09-18
801040.SWI,钢铁,2151.441,2026-09-18
801080.SWI,电子,8935.032,2026-09-18
801180.SWI,房地产,1896.069,2026-09-18
801740.SWI,国防军工,1689.379,2026-09-18
801880.SWI,汽车,6318.937,2026-09-18
801890.SWI,机械设备,2226.374,2026-09-18
801710.SWI,建筑材料,6101.163,2026-09-18
801730.SWI,电力设备,8587.301,2026-09-18
801120.SWI,食品饮料,13547.29,2026-09-18
801980.SWI,美容护理,3416.96,2026-09-18
801030.SWI,基础化工,4268.667,2026-09-18
801050.SWI,有色金属,8020.544,2026-09-18
801230.SWI,综合,4220.402,2026-09-18
801150.SWI,医药生物,7701.035,2026-09-18
801140.SWI,轻工制造,2096.44,2026-09-18
801110.SWI,家用电器,8532.628,2026-09-18
801010.SWI,农林牧渔,2578.437,2026-09-18
801130.SWI,纺织服饰,1522.639,2026-09-18
801720.SWI,建筑装饰,1947.996,2026-09-18
