date,cash,mv,nav,n_pos,ret,dd
2015-05-25,16680.050000000003,372459.0,389139.05,6,-0.22172190000000003,0.0
2015-05-26,7686.050000000003,389773.0,397459.05,6,0.02138053222877523,0.0
2015-05-27,564.0500000000029,406030.0,406594.05,6,0.022983499809603014,0.0
2015-05-28,2385.0700000000033,384099.3,386484.37,6,-0.04945886443739156,-0.04945886443739156
2015-05-29,3959.4400000000032,398735.3,402694.74,6,0.04194314507466368,-0.009590179689053513
2015-06-01,645.8700000000026,405616.2,406262.07,8,0.008858645633166295,-0.0008164900593109481
2015-06-02,721.4799999999959,492558.0,493279.48,7,0.21419033777876417,0.0
2015-06-03,75.1899999999955,501472.0,501547.19,7,0.016760701256010035,0.0
2015-06-04,2966.8499999999954,498999.0,501965.85,7,0.0008347370065018289,0.0
2015-06-05,2266.7599999999948,521589.0,523855.76,7,0.043608364991363446,0.0
2015-06-08,1595.8399999999947,519443.0,521038.83999999997,7,-0.005377281715867821,-0.005377281715867821
2015-06-09,564978.49,0.0,564978.49,1,0.08433085333907164,0.0
2015-06-10,564978.49,0.0,564978.49,1,0.0,0.0
2015-06-11,564978.49,0.0,564978.49,1,0.0,0.0
2015-06-12,564978.49,0.0,564978.49,1,0.0,0.0
2015-06-15,167.08999999992375,547537.0,547704.09,7,-0.03057532331894619,-0.03057532331894619
2015-06-16,167.08999999992375,540491.0,540658.09,7,-0.012864610888700834,-0.04304659457035265
2015-06-17,589.9099999999235,549791.0,550380.9099999999,7,0.017983306233334995,-0.02583740842947857
2015-06-18,200.90999999992346,529543.0,529743.9099999999,7,-0.03749584991964927,-0.062364462760343464
2015-06-19,259.4699999999234,498617.0,498876.4699999999,7,-0.05826860756171792,-0.11699917991568154
2015-06-23,140.32999999992262,529205.0,529345.33,7,0.061074959097589865,-0.06306994094589347
2015-06-24,214.98999999993248,536006.0,536220.99,7,0.012988987736984647,-0.05090016789842744
2015-06-25,449.28999999993266,522002.0,522451.2899999999,7,-0.025679151425982205,-0.07527224620533801
2015-06-26,418.55999999993264,481023.0,481441.55999999994,7,-0.07849483920309586,-0.14785860254608996
2015-06-29,303945.31999999995,174643.0,478588.31999999995,3,-0.005926451384878351,-0.1529087771111428
2015-06-30,475383.1699999999,0.0,475383.1699999999,1,-0.0066970919808491125,-0.15858182494699946
2015-07-01,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
2015-07-02,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
2015-07-03,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
2015-07-06,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
2015-07-07,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
2015-07-08,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
2015-07-09,475383.1699999999,0.0,475383.1699999999,1,0.0,-0.15858182494699946
