"日期","时间","证券代码","证券名称","买/卖","数量","成交价","成交金额","平仓盈亏","交易费用","成交类型"
"2026-09-21","2026-09-21 09:30:00.000","688709.SH","成都华微","卖出","33906","25.19","854092.14","68158.59 / 8.67%","1110.32","普通成交"
"2026-09-21","2026-09-21 09:30:00.000","688539.SH","高华科技","卖出","33017","24.53","809907.01","63194.74 / 8.46%","1052.88","普通成交"
"2026-09-21","2026-09-21 09:30:00.000","688283.SH","坤恒顺维","卖出","26109","27.52","718519.68","40906.48 / 6.04%","934.08","普通成交"
"2026-09-21","2026-09-21 09:30:00.000","301590.SZ","优优绿能","买入","100","69.66","6966","--","5","普通成交"
"2026-09-21","2026-09-21 09:30:00.000","301325.SZ","曼恩斯特","买入","200","31.8","6360","--","5","普通成交"
"2026-09-21","2026-09-21 09:30:00.000","002544.SZ","普天科技","卖出","56900","16.19","921211","12886.49 / 1.42%","1197.57","普通成交"
"2026-09-18","2026-09-18 09:30:00.000","688539.SH","高华科技","买入","344","23.28","8008.32","--","5","普通成交"
"2026-09-18","2026-09-18 09:30:00.000","688283.SH","坤恒顺维","买入","670","26.45","17721.5","--","5.32","普通成交"
"2026-09-18","2026-09-18 09:30:00.000","301325.SZ","曼恩斯特","卖出","1000","31.27","31270","3534.67 / 12.74%","40.65","普通成交"
"2026-09-18","2026-09-18 09:30:00.000","002544.SZ","普天科技","买入","1000","15.89","15890","--","5","普通成交"
"2026-09-17","2026-09-17 09:30:00.000","688539.SH","高华科技","卖出","600","23.62","14172","606.69 / 4.47%","19.17","普通成交"
"2026-09-17","2026-09-17 09:30:00.000","301325.SZ","曼恩斯特","买入","300","30.39","9117","--","5","普通成交"
"2026-09-17","2026-09-17 09:30:00.000","002544.SZ","普天科技","买入","1000","16.11","16110","--","5","普通成交"
"2026-09-16","2026-09-16 09:30:00.000","688709.SH","成都华微","买入","359","23.43","8411.37","--","5","普通成交"
"2026-09-16","2026-09-16 09:30:00.000","688539.SH","高华科技","买入","765","22.69","17357.85","--","5.21","普通成交"
"2026-09-16","2026-09-16 09:30:00.000","301590.SZ","优优绿能","买入","100","65.11","6511","--","5","普通成交"
"2026-09-16","2026-09-16 09:30:00.000","301325.SZ","曼恩斯特","卖出","2000","29.88","59760","4343.12 / 7.84%","77.69","普通成交"
"2026-09-16","2026-09-16 09:30:00.000","002544.SZ","普天科技","买入","200","15.69","3138","--","5","普通成交"
"2026-09-15","2026-09-15 09:30:00.000","688283.SH","坤恒顺维","买入","226","26.16","5912.16","--","5","普通成交"
"2026-09-15","2026-09-15 09:30:00.000","301325.SZ","曼恩斯特","买入","100","27.7","2770","--","5","普通成交"
"2026-09-15","2026-09-15 09:30:00.000","002544.SZ","普天科技","买入","500","15.75","7875","--","5","普通成交"
"2026-09-14","2026-09-14 09:30:00.000","688709.SH","成都华微","买入","33547","23.17","777283.99","--","233.19","普通成交"
"2026-09-14","2026-09-14 09:30:00.000","688539.SH","高华科技","买入","32508","22.6","734680.8","--","220.4","普通成交"
"2026-09-14","2026-09-14 09:30:00.000","688283.SH","坤恒顺维","买入","25213","25.93","653773.09","--","196.13","普通成交"
"2026-09-14","2026-09-14 09:30:00.000","301590.SZ","优优绿能","买入","9800","65.05","637490","--","191.25","普通成交"
"2026-09-14","2026-09-14 09:30:00.000","301325.SZ","曼恩斯特","买入","31700","27.7","878090","--","263.43","普通成交"
"2026-09-14","2026-09-14 09:30:00.000","002544.SZ","普天科技","买入","54200","15.96","865032","--","259.51","普通成交"
"2026-09-01","2026-09-01 09:30:00.000","688776.SH","国光电气","卖出","17718","48.62","861449.16","31597.45 / 3.81%","1119.88","普通成交"
"2026-09-01","2026-09-01 09:30:00.000","688081.SH","兴图新科","卖出","22787","27.99","637808.13","-15566.79 / -2.38%","829.15","普通成交"
"2026-09-01","2026-09-01 09:30:00.000","301560.SZ","众捷汽车","卖出","29400","23.85","701190","35236.88 / 5.29%","911.55","普通成交"
"2026-09-01","2026-09-01 09:30:00.000","301398.SZ","星源卓镁","卖出","24700","35.66","880802","107439.38 / 13.89%","1145.04","普通成交"
"2026-08-31","2026-08-31 09:30:00.000","920252.BJ","天宏锂电","卖出","59200","15.58","922336","11566.15 / 1.27%","1199.04","普通成交"
"2026-08-31","2026-08-31 09:30:00.000","688776.SH","国光电气","卖出","200","47.91","9582","214.67 / 2.29%","14.58","普通成交"
"2026-08-31","2026-08-31 09:30:00.000","688081.SH","兴图新科","买入","577","27.95","16127.15","--","5","普通成交"
"2026-08-31","2026-08-31 09:30:00.000","301590.SZ","优优绿能","卖出","7600","71.61","544236","-19421.65 / -3.45%","707.51","普通成交"
"2026-08-31","2026-08-31 09:30:00.000","301398.SZ","星源卓镁","卖出","1000","32.77","32770","1459.77 / 4.66%","42.6","普通成交"
"2026-08-28","2026-08-28 09:30:00.000","920252.BJ","天宏锂电","买入","1500","15.75","23625","--","7.09","普通成交"
"2026-08-28","2026-08-28 09:30:00.000","688776.SH","国光电气","买入","319","47.26","15075.94","--","5","普通成交"
